GEOCODIG_M;NOME_MUNIC;MICRORREGI;NOME_MICRO;cod;UF;coordy;coordx;casos;POP2017
2500106;Água Branca;25007;Serra do Teixeira;250010;PB;-7,512;-37,641;0;10479,0877652783
2500205;Aguiar;25005;Piancó;250020;PB;-7,092;-38,171;0;5469,50494801108
2500304;Alagoa Grande;25015;Brejo Paraibano;250030;PB;-7,089;-35,635;0;25128,4641799025
2500403;Alagoa Nova;25015;Brejo Paraibano;250040;PB;-7,071;-35,758;0;20035,4339216216
2500502;Alagoinha;25016;Guarabira;250050;PB;-6,95;-35,545;0;14983,715202791
2500536;Alcantil;25011;Cariri Oriental;250053;PB;-7,744;-36,056;1;5224,37934848963
2500577;Algodão de Jandaíra;25012;Curimataú Ocidental;250057;PB;-6,816;-35,922;0;2546,00937026386
2500601;Alhandra;25023;Litoral Sul;250060;PB;-7,439;-34,914;1;22126,3231313646
2500700;São João do Rio do Peixe;25002;Cajazeiras;250070;PB;-6,729;-38,449;1;17934,2332085198
2500734;Amparo;25010;Cariri Ocidental;250073;PB;-7,568;-37,064;0;2193,44586927432
2500775;Aparecida;25003;Sousa;250077;PB;-6,784;-38,087;0;9985,57736381644
2500809;Araçagi;25016;Guarabira;250080;PB;-6,853;-35,381;0;16517,5667679473
2500908;Arara;25012;Curimataú Ocidental;250090;PB;-6,828;-35,758;0;13639,6887509119
2501005;Araruna;25013;Curimataú Oriental;250100;PB;-6,558;-35,742;2;22202,6839285489
2501104;Areia;25015;Brejo Paraibano;250110;PB;-6,963;-35,692;1;23450,4395175866
2501153;Areia de Baraúnas;25004;Patos;250115;PB;-7,123;-36,941;0;2084,62416624774
2501203;Areial;25014;Esperança;250120;PB;-7,048;-35,931;0;6523,54420855256
2501302;Aroeiras;25019;Umbuzeiro;250130;PB;-7,545;-35,708;0;18690,326140702
2501351;Assunção;25010;Cariri Ocidental;250135;PB;-7,074;-36,731;0;3957,47284241067
2501401;Baía da Traição;25020;Litoral Norte;250140;PB;-6,688;-34,936;0;9437,32773639852
2501500;Bananeiras;25015;Brejo Paraibano;250150;PB;-6,75;-35,633;0;21471,5574870698
2501534;Baraúna;25009;Seridó Oriental Paraibano;250153;PB;-6,643;-36,254;0;399,413689449075
2501575;Barra de Santana;25011;Cariri Oriental;250157;PB;-7,52;-36;0;9078,90454243439
2501609;Barra de Santa Rosa;25012;Curimataú Ocidental;250160;PB;-6,72;-36,061;0;12459,6836993445
2501708;Barra de São Miguel;25011;Cariri Oriental;250170;PB;-7,751;-36,318;1;4323,52568241815
2501807;Bayeux;25022;João Pessoa;250180;PB;-7,125;-34,932;0;101072,954334713
2501906;Belém;25016;Guarabira;250190;PB;-6,747;-35,519;0;36,342816093863
2502003;Belém do Brejo do Cruz;25001;Catolé do Rocha;250200;PB;-6,189;-37,536;1;7049,92050419849
2502052;Bernardino Batista;25002;Cajazeiras;250205;PB;-6,452;-38,551;1;4251,71057624707
2502102;Boa Ventura;25006;Itaporanga;250210;PB;-7,414;-38,216;0;4834,94375746564
2502151;Boa Vista;25017;Campina Grande;250215;PB;-7,259;-36,24;0;34,8131228869621
2502201;Bom Jesus;25002;Cajazeiras;250220;PB;-6,817;-38,65;0;343,928058862201
2502300;Bom Sucesso;25001;Catolé do Rocha;250230;PB;-6,445;-37,929;0;937,637698655025
2502409;Bonito de Santa Fé;25002;Cajazeiras;250240;PB;-7,313;-38,515;0;11914,1806467174
2502508;Boqueirão;25011;Cariri Oriental;250250;PB;-7,482;-36,135;0;15891,2966479849
2502607;Igaracy;25005;Piancó;250260;PB;-7,181;-38,149;0;6522,84845291157
2502706;Borborema;25015;Brejo Paraibano;250270;PB;-6,801;-35,626;0;5436,35762703952
2502805;Brejo do Cruz;25001;Catolé do Rocha;250280;PB;-6,349;-37,498;3;13284,5225321331
2502904;Brejo dos Santos;25001;Catolé do Rocha;250290;PB;-6,377;-37,825;0;5441,57280292425
2503001;Caaporã;25023;Litoral Sul;250300;PB;-7,516;-34,908;0;20825,8318962692
2503100;Cabaceiras;25011;Cariri Oriental;250310;PB;-7,489;-36,287;0;5945,46358406356
2503209;Cabedelo;25022;João Pessoa;250320;PB;-6,981;-34,834;0;62012,6502909499
2503308;Cachoeira dos Índios;25002;Cajazeiras;250330;PB;-6,927;-38,674;1;9248,0692092892
2503407;Cacimba de Areia;25004;Patos;250340;PB;-7,129;-37,157;0;3237,2836285186
2503506;Cacimba de Dentro;25013;Curimataú Oriental;250350;PB;-6,642;-35,79;1;17532,4707728225
2503555;Cacimbas;25007;Serra do Teixeira;250355;PB;-7,211;-37,058;0;6736,24458402073
2503605;Caiçara;25016;Guarabira;250360;PB;-6,554;-35,411;0;7298,31436314855
2503704;Cajazeiras;25002;Cajazeiras;250370;PB;-6,89;-38,562;41;58041,4972566615
2503753;Cajazeirinhas;25003;Sousa;250375;PB;-6,961;-37,806;0;3315,72613729427
2503803;Caldas Brandão;25018;Itabaiana;250380;PB;-7,103;-35,326;0;5674,78493920967
2503902;Camalaú;25010;Cariri Ocidental;250390;PB;-7,889;-36,823;0;6129,99593126359
2504009;Campina Grande;25017;Campina Grande;250400;PB;-7,231;-35,881;122;394745,38155963
2504033;Capim;25020;Litoral Norte;250403;PB;-6,916;-35,172;0;7126,71561400801
2504074;Caraúbas;25011;Cariri Oriental;250407;PB;-7,727;-36,492;0;392,763269451849
2504108;Carrapateira;25002;Cajazeiras;250410;PB;-7,039;-38,344;0;2758,88667767765
2504157;Casserengue;25013;Curimataú Oriental;250415;PB;-6,783;-35,821;0;7049,12478030048
2504207;Catingueira;25005;Piancó;250420;PB;-7,126;-37,609;0;4997,02396715856
2504306;Catolé do Rocha;25001;Catolé do Rocha;250430;PB;-6,344;-37,747;13;28798,2855069565
2504355;Caturité;25011;Cariri Oriental;250435;PB;-7,42;-36,027;0;4906,48373780993
2504405;Conceição;25006;Itaporanga;250440;PB;-7,562;-38,509;0;16970,2980643322
2504504;Condado;25003;Sousa;250450;PB;-6,91;-37,601;0;6971,17280871654
2504603;Conde;25022;João Pessoa;250460;PB;-7,26;-34,908;8;19256,3205582939
2504702;Congo;25010;Cariri Ocidental;250470;PB;-7,797;-36,66;0;5020,69404952559
2504801;Coremas;25005;Piancó;250480;PB;-7,014;-37,946;2;15533,8405582088
2504850;Coxixola;25010;Cariri Ocidental;250485;PB;-7,627;-36,606;0;2209,68934634548
2504900;Cruz do Espírito Santo;25021;Sapé;250490;PB;-7,14;-35,086;0;17172,0896912201
2505006;Cubati;25009;Seridó Oriental Paraibano;250500;PB;-6,868;-36,351;0;6310,56358755299
2505105;Cuité;25012;Curimataú Ocidental;250510;PB;-6,485;-36,157;0;20878,9547777708
2505204;Cuitegi;25016;Guarabira;250520;PB;-6,893;-35,523;0;6761,49051723182
2505238;Cuité de Mamanguape;25020;Litoral Norte;250523;PB;-6,915;-35,252;0;7090,76651260017
